SMILES,IUPAC Name
CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,3-acetyloxy-4-(trimethylazaniumyl)butanoate
CC(=O)OC(CC(=O)O)C[N+](C)(C)C,(2-acetyloxy-3-carboxypropyl)-trimethylazanium
C1=CC(C(C(=C1)C(=O)O)O)O,5,6-dihydroxycyclohexa-1,3-diene-1-carboxylic acid
CC(CN)O,1-aminopropan-2-ol
C(C(=O)COP(=O)(O)O)N,(3-amino-2-oxopropyl) dihydrogen phosphate
C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl,"1-chloro-2,4-dinitrobenzene"
CCN1C=NC2=C(N=CN=C21)N,9-ethylpurin-6-amine
CCC(C)(C(C(=O)O)O)O,"2,3-dihydroxy-3-methylpentanoic acid"
C1(C(C(C(C(C1O)O)OP(=O)(O)O)O)O)O,"(2,3,4,5,6-pentahydroxycyclohexyl) dihydrogen phosphate"
C1C(NC2=C(N1)NC(=NC2=O)N)CN(C=O)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,"2-[[4-[(2-amino-4-oxo-5,6,7,8-tetrahydro-1H-pteridin-6-yl)methyl-formylamino]benzoyl]amino]pentanedioic acid"
